icd_code,icd_version,long_title
0353,9,Repair of vertebral fracture
0390,9,Insertion of catheter into spinal canal for infusion of therapeutic or palliative substances
0443,9,Release of carpal tunnel
0523,9,Lumbar sympathectomy
0532,9,Injection of neurolytic agent into sympathetic nerve
0613,9,Biopsy of parathyroid gland
0639,9,Other partial thyroidectomy
0742,9,Division of nerves to adrenal glands
0768,9,"Total excision of pituitary gland, other specified approach"
0893,9,Other epilation of eyelid
1174,9,Thermokeratoplasty
1371,9,"Insertion of intraocular lens prosthesis at time of cataract extraction, one-stage"
1639,9,Other evisceration of eyeball
1829,9,Excision or destruction of other lesion of external ear
2001,9,Myringotomy with insertion of tube
2183,9,Total nasal reconstruction
2199,9,Other operations on nose
2242,9,Frontal sinusectomy
246,9,Exposure of tooth
2611,9,Closed [needle] biopsy of salivary gland or duct
2819,9,Other diagnostic procedures on tonsils and adenoids
3504,9,"Closed heart valvotomy, tricuspid valve"
3604,9,Intracoronary artery thrombolytic infusion
3699,9,Other operations on vessels of heart
3922,9,Aorta-subclavian-carotid bypass
3929,9,Other (peripheral) vascular shunt or bypass
4266,9,Other antesternal esophagocolostomy
436,9,Partial gastrectomy with anastomosis to duodenum
4463,9,Closure of other gastric fistula
4673,9,"Suture of laceration of small intestine, except duodenum"
5013,9,Transjugular liver biopsy
5553,9,Removal of transplanted or rejected kidney
5587,9,Correction of ureteropelvic junction
5662,9,Revision of other cutaneous ureterostomy
5686,9,Removal of ligature from ureter
5786,9,Repair of bladder exstrophy
6097,9,Other transurethral destruction of prostate tissue by other thermotherapy
6192,9,Excision of lesion of tunica vaginalis other than hydrocele
6261,9,Suture of laceration of testis
6299,9,Other operations on testes
642,9,Local excision or destruction of lesion of penis
6442,9,Release of chordee
645,9,"Operations for sex transformation, not elsewhere classified"
6551,9,Other removal of both ovaries at same operative episode
6622,9,Bilateral endoscopic ligation and division of fallopian tubes
6632,9,Other bilateral ligation and division of fallopian tubes
6997,9,Removal of other penetrating foreign body from cervix
7561,9,Repair of current obstetric laceration of bladder and urethra
7601,9,Sequestrectomy of facial bone
7671,9,Closed reduction of malar and zygomatic fracture
7691,9,Bone graft to facial bone
7788,9,"Other partial ostectomy, tarsals and metatarsals"
7789,9,"Other partial ostectomy, other bones"
7804,9,"Bone graft, carpals and metacarpals"
8039,9,"Biopsy of joint structure, other specified sites"
8083,9,"Other local excision or destruction of lesion of joint, wrist"
8233,9,Other tenonectomy of hand
8246,9,Suture of muscle or fascia of hand
850,9,Mastotomy
8521,9,Local excision of lesion of breast
8712,9,Other dental x-ray
8729,9,Other x-ray of spine
8967,9,Monitoring of cardiac output by oxygen consumption technique
9053,9,"Microscopic examination of blood, culture and sensitivity"
9133,9,"Microscopic examination of specimen from bladder, urethra, prostate, seminal vesicle, perivesical tissue, and of urine and semen, culture and sensitivity"
9304,9,Manual testing of muscle function
9335,9,Other heat therapy
9373,9,Esophageal speech training
9403,9,Character analysis
9429,9,Other psychiatric somatotherapy
9437,9,Exploratory verbal psychotherapy
9501,9,Limited eye examination
9522,9,Electro-oculogram [EOG]
9653,9,Irrigation of nasal passages
9813,9,Removal of intraluminal foreign body from pharynx without incision
9959,9,Other vaccination and inoculation
9964,9,Carotid sinus stimulation
0003,9,Therapeutic ultrasound of peripheral vascular vessels
0012,9,Administration of inhaled nitric oxide
0153,9,Lobectomy of brain
0212,9,Other repair of cerebral meninges
0394,9,Removal of spinal neurostimulator lead(s)
046,9,Transposition of cranial and peripheral nerves
0476,9,Repair of old traumatic injury of cranial and peripheral nerves
0782,9,Other total excision of thymus
0944,9,Intubation of nasolacrimal duct
1142,9,Thermocauterization of corneal lesion
1176,9,Epikeratophakia
1311,9,Intracapsular extraction of lens by temporal inferior route
1351,9,Extracapsular extraction of lens by temporal inferior route
1952,9,Type II tympanoplasty
3172,9,Closure of external fistula of trachea
3209,9,Other local excision or destruction of lesion or tissue of bronchus
3226,9,Other and unspecified ablation of lung lesion or tissue
3983,9,Implantation or replacement of carotid sinus stimulation pulse generator only
4264,9,Other antesternal esophagoenterostomy
4289,9,Other repair of esophagus
4311,9,Percutaneous [endoscopic] gastrostomy [PEG]
4399,9,Other total gastrectomy
4465,9,Esophagogastroplasty
4492,9,Intraoperative manipulation of stomach
4581,9,Laparoscopic total intra-abdominal colectomy
4835,9,Local excision of rectal lesion or tissue
4869,9,Other resection of rectum
503,9,Lobectomy of liver
5093,9,Localized perfusion of liver
5285,9,Allotransplantation of cells of Islets of Langerhans
5419,9,Other laparotomy
6096,9,Transurethral destruction of prostate tissue by microwave thermotherapy
6269,9,Other repair of testis
697,9,Insertion of intrauterine contraceptive device
7111,9,Biopsy of vulva
7254,9,Other total breech extraction
729,9,Unspecified instrumental delivery
7726,9,"Wedge osteotomy, patella"
7783,9,"Other partial ostectomy, radius and ulna"
7796,9,"Total ostectomy, patella"
7809,9,"Bone graft, other bones"
7899,9,"Insertion of bone growth stimulator, other bones"
8080,9,"Other local excision or destruction of lesion of joint, unspecified site"
8099,9,"Other excision of joint, other specified sites"
8236,9,Other myectomy of hand
8241,9,Suture of tendon sheath of hand
8293,9,Aspiration of other soft tissue of hand
8484,9,Insertion or replacement of facet replacement device(s)
8574,9,"Deep inferior epigastric artery perforator (DIEP) flap, free"
8687,9,Fat graft of skin and subcutaneous tissue
8774,9,Retrograde pyelogram
8863,9,Phlebography of other intrathoracic veins using contrast material
8884,9,Muscle thermography
8935,9,Transillumination of nasal sinuses
8968,9,Monitoring of cardiac output by other technique
9013,9,"Microscopic examination of specimen from endocrine gland, not elsewhere classified, culture and sensitivity"
9021,9,"Microscopic examination of specimen from eye, bacterial smear"
9036,9,"Microscopic examination of specimen from ear, nose, throat, and larynx, cell block and Papanicolaou smear"
9062,9,"Microscopic examination of specimen from spleen and of bone marrow, culture"
9179,9,"Microscopic examination of specimen from operative wound, other microscopic examination"
9230,9,"Stereotactic radiosurgery, not otherwise specified"
9345,9,Thomas' splint traction
9357,9,Application of other wound dressing
9423,9,Neuroleptic therapy
9956,9,Administration of tetanus antitoxin
9972,9,Therapeutic leukopheresis
0014,9,Injection or infusion of oxazolidinone class of antibiotics
0123,9,Reopening of craniotomy site
0694,9,Thyroid tissue reimplantation
0951,9,Incision of lacrimal punctum
0972,9,Other repair of punctum
1213,9,Excision of prolapsed iris
1359,9,Other extracapsular extraction of lens
1434,9,Repair of retinal tear by laser photocoagulation
2032,9,Biopsy of middle and inner ear
2041,9,Simple mastoidectomy
2509,9,Other diagnostic procedures on tongue
2629,9,Other excision of salivary gland lesion
3121,9,Mediastinal tracheostomy
3720,9,Noninvasive programmed electrical stimulation [NIPS]
3782,9,"Initial insertion of single-chamber device, rate responsive"
3794,9,"Implantation or replacement of automatic cardioverter/defibrillator, total system [AICD]"
3814,9,"Endarterectomy, aorta"
3886,9,"Other surgical occlusion of vessels, abdominal arteries"
3962,9,Hypothermia (systemic) incidental to open heart surgery
3992,9,Injection of sclerosing agent into vein
4132,9,Closed [aspiration] [percutaneous] biopsy of spleen
4141,9,Marsupialization of splenic cyst
4191,9,Aspiration of bone marrow from donor for transplant
4229,9,Other diagnostic procedures on esophagus
4319,9,Other gastrostomy
4501,9,Incision of duodenum
4511,9,Transabdominal endoscopy of small intestine
4679,9,Other repair of intestine
4849,9,Other pull-through resection of rectum
4872,9,Closure of proctostomy
4949,9,Other procedures on hemorrhoids
5280,9,"Pancreatic transplant, not otherwise specified"
5412,9,Reopening of recent laparotomy site
5461,9,Reclosure of postoperative disruption of abdominal wall
5512,9,Pyelostomy
5674,9,Ureteroneocystostomy
5681,9,Lysis of intraluminal adhesions of ureter
5749,9,Other transurethral excision or destruction of lesion or tissue of bladder
5781,9,Suture of laceration of bladder
6015,9,Biopsy of periprostatic tissue
664,9,Total unilateral salpingectomy
696,9,Menstrual extraction or regulation
7022,9,Culdoscopy
7031,9,Hymenectomy
7109,9,Other incision of vulva and perineum
7221,9,Mid forceps operation with episiotomy
7271,9,Vacuum extraction with episiotomy
7391,9,External version assisting delivery
7592,9,Evacuation of other hematoma of vulva or vagina
7593,9,Surgical correction of inverted uterus
7679,9,Other open reduction of facial fracture
7769,9,"Local excision of lesion or tissue of bone, other bones"
7777,9,"Excision of bone for graft, tibia and fibula"
7780,9,"Other partial ostectomy, unspecified site"
7863,9,"Removal of implanted devices from bone, radius and ulna"
7936,9,"Open reduction of fracture with internal fixation, tibia and fibula"
7964,9,"Debridement of open fracture site, phalanges of hand"
8234,9,Excision of muscle or fascia of hand for graft
8342,9,Other tenonectomy
8411,9,Amputation of toe
8423,9,"Forearm, wrist, or hand reattachment"
8471,9,"Application of external fixator device, monoplanar system"
8481,9,Revision of interspinous process device(s)
8525,9,Excision of nipple
8543,9,Unilateral extended simple mastectomy
8555,9,Fat graft to breast
8619,9,Other diagnostic procedures on skin and subcutaneous tissue
8661,9,Full-thickness skin graft to hand
8736,9,Xerography of breast
8783,9,Opaque dye contrast hysterosalpingogram
8794,9,Contrast vasogram
8819,9,Other x-ray of abdomen
8825,9,Pelvimetry
8912,9,Nasal function study
9052,9,"Microscopic examination of blood, culture"
9094,9,"Microscopic examination of specimen from lower gastrointestinal tract and of stool, parasitology"
9154,9,"Microscopic examination of specimen from musculoskeletal system and of joint fluid, parasitology"
9186,9,"Microscopic examination of specimen from other site, cell block and Papanicolaou smear"
9201,9,Thyroid scan and radioisotope function studies
9204,9,Gastrointestinal scan and radioisotope function study
9319,9,"Exercise, not elsewhere classified"
9324,9,Training in use of prosthetic or orthotic device
9374,9,Speech defect training
9383,9,Occupational therapy
9819,9,Removal of intraluminal foreign body from urethra without incision
9948,9,Administration of measles-mumps-rubella vaccine
0010,9,Implantation of chemotherapeutic agent
0021,9,Intravascular imaging of extracranial cerebral vessels
0841,9,Repair of entropion or ectropion by thermocauterization
0991,9,Obliteration of lacrimal punctum
1149,9,Other removal or destruction of corneal lesion
1221,9,Diagnostic aspiration of anterior chamber of eye
1266,9,Postoperative revision of scleral fistulization procedure
1297,9,Other operations on iris
1299,9,Other operations on anterior chamber
1511,9,Recession of one extraocular muscle
1629,9,Other diagnostic procedures on orbit and eyeball
1691,9,Retrobulbar injection of therapeutic agent
190,9,Stapes mobilization
2202,9,Aspiration or lavage of nasal sinus through natural ostium
2252,9,Sphenoidotomy
2260,9,"Sinusectomy, not otherwise specified"
232,9,Restoration of tooth by filling
2749,9,Other excision of mouth
2892,9,Excision of lesion of tonsil and adenoid
3029,9,Other partial laryngectomy
3352,9,Bilateral lung transplantation
3493,9,Repair of pleura
3522,9,Open and other replacement of aortic valve
3772,9,Initial insertion of transvenous leads [electrodes] into atrium and ventricle
3868,9,"Other excision of vessels, lower limb arteries"
3956,9,Repair of blood vessel with tissue patch graft
3985,9,Revision of carotid sinus stimulation pulse generator
4142,9,Excision of lesion or tissue of spleen
4199,9,Other operations on spleen
4640,9,"Revision of intestinal stoma, not otherwise specified"
4660,9,"Fixation of intestine, not otherwise specified"
4671,9,Suture of laceration of duodenum
4709,9,Other appendectomy
4824,9,Closed [endoscopic] biopsy of rectum
5632,9,Closed percutaneous biopsy of ureter
612,9,Excision of hydrocele (of tunica vaginalis)
6494,9,Fitting of external prosthesis of penis
6673,9,Salpingo-salpingostomy
719,9,Other operations on female genital organs
7531,9,Amnioscopy
7594,9,Immediate postpartum manual replacement of inverted uterus
7639,9,Partial ostectomy of other facial bone
7665,9,Segmental osteoplasty [osteotomy] of maxilla
7670,9,"Reduction of facial fracture, not otherwise specified"
7733,9,"Other division of bone, radius and ulna"
7756,9,Repair of hammer toe
7771,9,"Excision of bone for graft, scapula, clavicle, and thorax [ribs and sternum]"
7855,9,"Internal fixation of bone without fracture reduction, femur"
7877,9,"Osteoclasis, tibia and fibula"
7924,9,"Open reduction of fracture without internal fixation, phalanges of hand"
8135,9,"Refusion of dorsal and dorsolumbar spine, posterior column, posterior technique"
8254,9,Reattachment of muscle of hand
8296,9,Other injection of locally-acting therapeutic substance into soft tissue of hand
8667,9,Dermal regenerative graft
8694,9,"Insertion or replacement of single array neurostimulator pulse generator, not specified as rechargeable"
8764,9,Lower GI series
8910,9,Intracarotid amobarbital test
8933,9,Digital examination of enterostomy stoma
8937,9,Vital capacity determination
9011,9,"Microscopic examination of specimen from endocrine gland, not elsewhere classified, bacterial smear"
9089,9,"Microscopic examination of specimen from upper gastrointestinal tract and of vomitus, other microscopic examination"
9145,9,"Microscopic examination of specimen from female genital tract, toxicology"
9146,9,"Microscopic examination of specimen from female genital tract, cell block and Papanicolaou smear"
9222,9,Orthovoltage radiation
9363,9,"Osteopathic manipulative treatment using low- velocity, high-amplitude forces"
9390,9,Non-invasive mechanical ventilation
9504,9,Eye examination under anesthesia
9601,9,Insertion of nasopharyngeal airway
9602,9,Insertion of oropharyngeal airway
9609,9,Insertion of rectal tube
9789,9,Removal of other therapeutic device
9902,9,Transfusion of previously collected autologous blood
0054,9,Implantation or replacement of cardiac resynchronization defibrillator pulse generator only [CRT-D]
0091,9,Transplant from live related donor
0093,9,Transplant from cadaver
0121,9,Incision and drainage of cranial sinus
0222,9,Intracranial ventricular shunt or anastomosis
0689,9,Other parathyroidectomy
0809,9,Other incision of eyelid
0822,9,Excision of other minor lesion of eyelid
0842,9,Repair of entropion or ectropion by suture technique
1231,9,Lysis of goniosynechiae
1609,9,Other orbitotomy
1802,9,Incision of external auditory canal
2022,9,Incision of petrous pyramid air cells
2039,9,Other diagnostic procedures on middle and inner ear
2184,9,Revision rhinoplasty
2231,9,Radical maxillary antrotomy
2311,9,Removal of residual root
2732,9,Wide excision or destruction of lesion or tissue of bony palate
2751,9,Suture of laceration of lip
2757,9,Attachment of pedicle or flap graft to lip and mouth
286,9,Adenoidectomy without tonsillectomy
3343,9,Closure of laceration of lung
3425,9,Closed [percutaneous] [needle] biopsy of mediastinum
3459,9,Other excision of pleura
3483,9,Closure of fistula of diaphragm
3520,9,Open and other replacement of unspecified heart valve
3555,9,"Repair of ventricular septal defect with prosthesis, closed technique"
3847,9,"Resection of vessel with replacement, abdominal veins"
387,9,Interruption of the vena cava
3996,9,Total body perfusion
4101,9,Autologous bone marrow transplant without purging
4550,9,"Isolation of intestinal segment, not otherwise specified"
4661,9,Fixation of small intestine to abdominal wall
4711,9,Laparoscopic incidental appendectomy
4832,9,Other electrocoagulation of rectal lesion or tissue
4931,9,Endoscopic excision or destruction of lesion or tissue of anus
543,9,Excision or destruction of lesion or tissue of abdominal wall or umbilicus
5633,9,Closed endoscopic biopsy of ureter
5789,9,Other repair of bladder
5841,9,Suture of laceration of urethra
586,9,Dilation of urethra
640,9,Circumcision
6492,9,Incision of penis
7091,9,Other operations on vagina
7491,9,Hysterotomy to terminate pregnancy
7537,9,Amnioinfusion
7695,9,Other manipulation of temporomandibular joint
7737,9,"Other division of bone, tibia and fibula"
7748,9,"Biopsy of bone, tarsals and metatarsals"
7848,9,"Other repair or plastic operations on bone, tarsals and metatarsals"
7884,9,"Diagnostic procedures on bone, not elsewhere classified, carpals and metacarpals"
7927,9,"Open reduction of fracture without internal fixation, tarsals and metatarsals"
7977,9,Closed reduction of dislocation of ankle
7980,9,Open reduction of dislocation of unspecified site
8088,9,"Other local excision or destruction of lesion of joint, foot and toe"
8137,9,"Refusion of lumbar and lumbosacral spine, posterior column, posterior technique"
8153,9,"Revision of hip replacement, not otherwise specified"
8379,9,Other muscle transposition
8382,9,Graft of muscle or fascia
8383,9,Tendon pulley reconstruction other than hand
8459,9,Insertion of other spinal devices
8609,9,Other incision of skin and subcutaneous tissue
8622,9,"Excisional debridement of wound, infection, or burn"
8660,9,"Free skin graft, not otherwise specified"
8765,9,Other x-ray of intestine
8867,9,Phlebography of other specified sites using contrast material
8944,9,Other cardiovascular stress test
9115,9,"Microscopic examination of peritoneal and retroperitoneal specimen, toxicology"
9152,9,"Microscopic examination of specimen from musculoskeletal system and of joint fluid, culture"
9181,9,"Microscopic examination of specimen from other site, bacterial smear"
9193,9,"Microscopic examination of specimen from unspecified site, culture and sensitivity"
9214,9,Bone scan
9231,9,Single source photon radiosurgery
9338,9,Combined physical therapy without mention of the components
9422,9,Lithium therapy
9466,9,Drug rehabilitation and detoxification
9536,9,Ophthalmologic counseling and instruction
9825,9,"Removal of other foreign body without incision from trunk except scrotum, penis, or vulva"
9852,9,Extracorporeal shockwave lithotripsy [ESWL] of the gallbladder and/or bile duct
9985,9,Hyperthermia for treatment of cancer
0032,9,Computer assisted surgery with MR/MRA
0045,9,Insertion of one vascular stent
0213,9,Ligation of meningeal vessel
0214,9,Choroid plexectomy
0391,9,Injection of anesthetic into spinal canal for analgesia
0714,9,"Biopsy of pituitary gland, transsphenoidal approach"
0802,9,Severing of blepharorrhaphy
0871,9,"Reconstruction of eyelid involving lid margin, partial-thickness"
0981,9,Dacryocystorhinostomy [DCR]
0982,9,Conjunctivocystorhinostomy
1285,9,Repair of scleral staphyloma with graft
1919,9,Other stapedectomy
2121,9,Rhinoscopy
2699,9,Other operations on salivary gland or duct
2742,9,Wide excision of lesion of lip
2755,9,Full-thickness skin graft to lip and mouth
2932,9,Pharyngeal diverticulectomy
3378,9,Endoscopic removal of bronchial device(s) or substances
3427,9,Biopsy of diaphragm
3492,9,Injection into thoracic cavity
3509,9,Endovascular replacement of unspecified heart valve
3722,9,Left heart cardiac catheterization
3731,9,Pericardiectomy
3805,9,"Incision of vessel, other thoracic vessels"
3977,9,Temporary (partial) therapeutic endovascular occlusion of vessel
4291,9,Ligation of esophageal varices
4519,9,Other diagnostic procedures on small intestine
4534,9,"Other destruction of lesion of small intestine, except duodenum"
4672,9,Closure of fistula of duodenum
4829,9,"Other diagnostic procedures on rectum, rectosigmoid and perirectal tissue"
5299,9,Other operations on pancreas
5321,9,Unilateral repair of femoral hernia with graft or prosthesis
540,9,Incision of abdominal wall
570,9,Transurethral clearance of bladder
5798,9,Removal of electronic bladder stimulator
6563,9,Laparoscopic removal of both ovaries and tubes at same operative episode
6631,9,Other bilateral ligation and crushing of fallopian tubes
6732,9,Destruction of lesion of cervix by cauterization
6733,9,Destruction of lesion of cervix by cryosurgery
6902,9,Dilation and curettage following delivery or abortion
6992,9,Artificial insemination
741,9,Low cervical cesarean section
7700,9,"Sequestrectomy, unspecified site"
7701,9,"Sequestrectomy, scapula, clavicle, and thorax [ribs and sternum]"
7723,9,"Wedge osteotomy, radius and ulna"
7801,9,"Bone graft, scapula, clavicle, and thorax [ribs and sternum]"
7816,9,"Application of external fixator device, patella"
7840,9,"Other repair or plastic operations on bone, unspecified site"
7842,9,"Other repair or plastic operations on bone, humerus"
7861,9,"Removal of implanted devices from bone, scapula, clavicle, and thorax [ribs and sternum]"
7887,9,"Diagnostic procedures on bone, not elsewhere classified, tibia and fibula"
7919,9,"Closed reduction of fracture with internal fixation, other specified bone"
7981,9,Open reduction of dislocation of shoulder
8028,9,"Arthroscopy, foot and toe"
8072,9,"Synovectomy, elbow"
8128,9,Interphalangeal fusion
8184,9,Total elbow replacement
8192,9,Injection of therapeutic substance into joint or ligament
8311,9,Achillotenotomy
8362,9,Delayed suture of tendon
8452,9,Insertion of recombinant bone morphogenetic protein
8594,9,Removal of implant of breast
8831,9,Skeletal series
8850,9,"Angiocardiography, not otherwise specified"
8871,9,Diagnostic ultrasound of head and neck
8876,9,Diagnostic ultrasound of abdomen and retroperitoneum
8911,9,Tonometry
8947,9,Artificial pacemaker electrode impedance check
9065,9,"Microscopic examination of specimen from spleen and of bone marrow, toxicology"
9095,9,"Microscopic examination of specimen from lower gastrointestinal tract and of stool, toxicology"
9129,9,"Microscopic examination of specimen from kidney, ureter, perirenal and periureteral tissue, other microscopic examination"
9162,9,"Microscopic examination of specimen from skin and other integument, culture"
9433,9,Behavior therapy
9547,9,"Hearing examination, not otherwise specified"
9995,9,Stretching of foreskin
0151,9,Excision of lesion or tissue of cerebral meninges
0941,9,Probing of lacrimal punctum
1169,9,Other corneal transplant
1293,9,Removal or destruction of epithelial downgrowth from anterior chamber
1459,9,Other repair of retinal detachment
1662,9,Revision and reinsertion of ocular implant
1743,9,Percutaneous robotic assisted procedure
185,9,Surgical correction of prominent ear
2097,9,"Implantation or replacement of cochlear prosthetic device, single channel"
2098,9,"Implantation or replacement of cochlear prosthetic device, multiple channel"
2130,9,"Excision or destruction of lesion of nose, not otherwise specified"
2253,9,Incision of multiple nasal sinuses
3249,9,Other lobectomy of lung
3259,9,Other and unspecified pneumonectomy
343,9,Excision or destruction of lesion or tissue of mediastinum
3610,9,"Aortocoronary bypass for heart revascularization, not otherwise specified"
3723,9,Combined right and left heart cardiac catheterization
3780,9,"Insertion of permanent pacemaker, initial or replacement, type of device not specified"
3800,9,"Incision of vessel, unspecified site"
3809,9,"Incision of vessel, lower limb veins"
3864,9,"Other excision of vessels, aorta, abdominal"
3888,9,"Other surgical occlusion of vessels, lower limb arteries"
3898,9,Other puncture of artery
4019,9,Other diagnostic procedures on lymphatic structures
412,9,Splenotomy
4212,9,Exteriorization of esophageal pouch
4225,9,Open biopsy of esophagus
4414,9,Closed [endoscopic] biopsy of stomach
4469,9,Other repair of stomach
4610,9,"Colostomy, not otherwise specified"
4823,9,Rigid proctosigmoidoscopy
4871,9,Suture of laceration of rectum
5187,9,Endoscopic insertion of stent (tube) into bile duct
5194,9,Revision of anastomosis of biliary tract
5459,9,Other lysis of peritoneal adhesions
5504,9,Percutaneous nephrostomy with fragmentation
5532,9,Open ablation of renal lesion or tissue
5771,9,Radical cystectomy
632,9,Excision of cyst of epididymis
7123,9,Marsupialization of Bartholin's gland (cyst)
7599,9,Other obstetric operations
7663,9,Osteoplasty [osteotomy] of body of mandible
7728,9,"Wedge osteotomy, tarsals and metatarsals"
7794,9,"Total ostectomy, carpals and metacarpals"
7805,9,"Bone graft, femur"
7806,9,"Bone graft, patella"
7917,9,"Closed reduction of fracture with internal fixation, tarsals and metatarsals"
7932,9,"Open reduction of fracture with internal fixation, radius and ulna"
7996,9,"Unspecified operation on bone injury, tibia and fibula"
8084,9,"Other local excision or destruction of lesion of joint, hand and finger"
8111,9,Ankle fusion
8312,9,Adductor tenotomy of hip
8332,9,Excision of lesion of muscle
8455,9,Insertion of bone void filler
8520,9,"Excision or destruction of breast tissue, not otherwise specified"
8777,9,Other cystogram
8784,9,Percutaneous hysterogram
8785,9,Other x-ray of fallopian tubes and uterus
8832,9,Contrast arthrogram
9091,9,"Microscopic examination of specimen from lower gastrointestinal tract and of stool, bacterial smear"
9163,9,"Microscopic examination of specimen from skin and other integument, culture and sensitivity"
9164,9,"Microscopic examination of specimen from skin and other integument, parasitology"
9169,9,"Microscopic examination of specimen from skin and other integument, other microscopic examination"
9227,9,Implantation or insertion of radioactive elements
9427,9,Other electroshock therapy
9543,9,Audiological evaluation
9656,9,Other lavage of bronchus and trachea
9732,9,Removal of nasal packing
9751,9,Removal of gastrostomy tube
9772,9,Removal of intrauterine pack
9823,9,Removal of foreign body from vulva without incision
9992,9,Other acupuncture
0051,9,"Implantation of cardiac resynchronization defibrillator, total system [CRT-D]"
0124,9,Other craniotomy
0302,9,Reopening of laminectomy site
0392,9,Injection of other agent into spinal canal
0412,9,Open biopsy of cranial or peripheral nerve or ganglion
0838,9,Correction of lid retraction
0912,9,Biopsy of lacrimal sac
0920,9,"Excision of lacrimal gland, not otherwise specified"
101,9,Other incision of conjunctiva
1175,9,Radial keratotomy
1471,9,"Removal of vitreous, anterior approach"
1811,9,Otoscopy
1821,9,Excision of preauricular sinus
2062,9,Revision of fenestration of inner ear
2102,9,Control of epistaxis by posterior (and anterior) packing
3192,9,Lysis of adhesions of trachea or larynx
3201,9,Endoscopic excision or destruction of lesion or tissue of bronchus
3405,9,Creation of pleuroperitoneal shunt
3512,9,Open heart valvuloplasty of mitral valve without replacement
3551,9,"Repair of atrial septal defect with prosthesis, open technique"
3609,9,Other removal of coronary artery obstruction
3727,9,Cardiac mapping
3807,9,"Incision of vessel, abdominal veins"
3839,9,"Resection of vessel with anastomosis, lower limb veins"
3840,9,"Resection of vessel with replacement, unspecified site"
3862,9,"Other excision of vessels, other vessels of head and neck"
3926,9,Other intra-abdominal vascular shunt or bypass
3941,9,Control of hemorrhage following vascular surgery
3984,9,Revision of carotid sinus stimulation lead(s) only
4413,9,Other gastroscopy
4464,9,Gastropexy
4561,9,Multiple segmental resection of small intestine
4623,9,Other permanent ileostomy
4642,9,Repair of pericolostomy hernia
