icd_code,icd_version,long_title
20491,9,"Unspecified lymphoid leukemia, in remission"
20511,9,"Chronic myeloid leukemia, in remission"
2165,9,"Benign neoplasm of skin of trunk, except scrotum"
22803,9,Hemangioma of retina
22809,9,Hemangioma of other sites
2308,9,Carcinoma in situ of liver and biliary system
2355,9,Neoplasm of uncertain behavior of other and unspecified digestive organs
23699,9,Neoplasm of uncertain behavior of other and unspecified urinary organs
2373,9,Neoplasm of uncertain behavior of paraganglia
23877,9,Post-transplant lymphoproliferative disorder (PTLD)
24231,9,"Toxic nodular goiter, unspecified type, with mention of thyrotoxic crisis or storm"
25010,9,"Diabetes with ketoacidosis, type II or unspecified type, not stated as uncontrolled"
2651,9,Other and unspecified manifestations of thiamine deficiency
2750,9,Disorders of iron metabolism
27905,9,Immunodeficiency with increased IgM
27953,9,Acute on chronic graft-versus-host disease
28809,9,Other neutropenia
29010,9,"Presenile dementia, uncomplicated"
29282,9,Drug-induced persisting dementia
29512,9,"Disorganized type schizophrenia, chronic"
29514,9,"Disorganized type schizophrenia, chronic with acute exacerbation"
29981,9,"Other specified pervasive developmental disorders, residual state"
30023,9,Social phobia
30159,9,Other histrionic personality disorder
3022,9,Pedophilia
30282,9,Voyeurism
30285,9,Gender identity disorder in adolescents or adults
30440,9,"Amphetamine and other psychostimulant dependence, unspecified"
30543,9,"Sedative, hypnotic or anxiolytic abuse, in remission"
32713,9,Recurrent hypersomnia
3373,9,Autonomic dysreflexia
33920,9,"Post-traumatic headache, unspecified"
34432,9,Monoplegia of lower limb affecting nondominant side
3481,9,Anoxic brain damage
3524,9,Disorders of accessory [11th] nerve
3564,9,Idiopathic progressive polyneuropathy
36024,9,Other metallosis of globe
36029,9,Other degenerative disorders of globe
36102,9,"Recent retinal detachment, partial, with multiple defects"
36207,9,Diabetic macular edema
36229,9,Other nondiabetic proliferative retinopathy
36270,9,"Hereditary retinal dystrophy, unspecified"
36352,9,"Circumpapillary dystrophy of choroid, total"
36403,9,"Secondary iridocyclitis, infectious"
36475,9,Pupillary abnormalities
36562,9,Glaucoma associated with ocular inflammations
36652,9,"Other after-cataract, not obscuring vision"
36833,9,Fusion with defective stereopsis
36961,9,One eye: total vision impairment; other eye: not specified
37261,9,Granuloma of conjunctiva
37275,9,Conjunctival cysts
37420,9,"Lagophthalmos, unspecified"
37832,9,Hypotropia
37851,9,"Third or oculomotor nerve palsy, partial"
37951,9,Congenital nystagmus
37958,9,Deficiencies of smooth pursuit movements
38052,9,Acquired stenosis of external ear canal secondary to surgery
38630,9,"Labyrinthitis, unspecified"
3961,9,Mitral valve stenosis and aortic valve insufficiency
40519,9,Other benign secondary hypertension
4170,9,Arteriovenous fistula of pulmonary vessels
42611,9,First degree atrioventricular block
4269,9,"Conduction disorder, unspecified"
42971,9,Acquired cardiac septal defect
4533,9,Other venous embolism and thrombosis of renal vein
460,9,Acute nasopharyngitis [common cold]
4658,9,Acute upper respiratory infections of other multiple sites
48281,9,Pneumonia due to anaerobes
48882,9,Influenza due to identified novel influenza A virus with other respiratory manifestations
48889,9,Influenza due to identified novel influenza A virus with other manifestations
5060,9,Bronchitis and pneumonitis due to fumes and vapors
51633,9,Acute interstitial pneumonitis
51884,9,Acute and chronic respiratory failure
5193,9,"Other diseases of mediastinum, not elsewhere classified"
5208,9,Other specified disorders of tooth development and eruption
52107,9,Dental caries of smooth surface
52411,9,"Anomalies of relationship of jaw to cranial base, maxillary asymmetry"
52436,9,Insufficient interocclusal distance of teeth (ridge)
53151,9,"Chronic or unspecified gastric ulcer with perforation, with obstruction"
53270,9,"Chronic duodenal ulcer without mention of hemorrhage or perforation, without mention of obstruction"
5374,9,Fistula of stomach or duodenum
5529,9,"Hernia of unspecified site, with obstruction"
56962,9,Mechanical complication of colostomy and enterostomy
5731,9,Hepatitis in viral diseases classified elsewhere
57421,9,"Calculus of gallbladder without mention of cholecystitis, with obstruction"
5855,9,"Chronic kidney disease, Stage V"
5920,9,Calculus of kidney
6031,9,Infected hydrocele
6068,9,Infertility due to extratesticular causes
6140,9,Acute salpingitis and oophoritis
6230,9,Dysplasia of vagina
6290,9,"Hematocele, female, not elsewhere classified"
63451,9,"Spontaneous abortion, complicated by shock, incomplete"
63522,9,"Legally induced abortion, complicated by damage to pelvic organs or tissues, complete"
63730,9,"Unspecified abortion, complicated by renal failure, unspecified"
64203,9,"Benign essential hypertension complicating pregnancy, childbirth, and the puerperium, antepartum condition or complication"
64311,9,"Hyperemesis gravidarum with metabolic disturbance, delivered, with or without mention of antepartum condition"
64380,9,"Other vomiting complicating pregnancy, unspecified as to episode of care or not applicable"
64521,9,"Prolonged pregnancy, delivered, with or without mention of antepartum condition"
64601,9,"Papyraceous fetus, delivered, with or without mention of antepartum condition"
64714,9,"Gonorrhea of mother, complicating pregnancy, childbirth, or the puerperium, postpartum condition or complication"
65690,9,"Unspecified fetal and placental problem, affecting management of mother, unspecified as to episode of care or not applicable"
65803,9,"Oligohydramnios, antepartum condition or complication"
65980,9,"Other specified indications for care or intervention related to labor and delivery, unspecified as to episode of care or not applicable"
66090,9,"Unspecified obstructed labor, unspecified as to episode of care or not applicable"
66391,9,"Unspecified umbilical cord complication complicating labor and delivery, delivered, with or without mention of antepartum condition"
66700,9,"Retained placenta without hemorrhage, unspecified as to episode of care or not applicable"
67020,9,"Puerperal sepsis, unspecified as to episode of care or not applicable"
67623,9,"Engorgement of breasts associated with childbirth, antepartum condition or complication"
67681,9,"Other disorders of lactation, delivered, with or without mention of antepartum condition"
69289,9,Contact dermatitis and other eczema due to other specified agents
69460,9,Benign mucous membrane pemphigoid without mention of ocular involvement
69515,9,Toxic epidermal necrolysis
6980,9,Pruritus ani
70713,9,Ulcer of ankle
71130,9,"Postdysenteric arthropathy, site unspecified"
71166,9,"Arthropathy associated with mycoses, lower leg"
71210,9,"Chondrocalcinosis, due to dicalcium phosphate crystals, site unspecified"
71514,9,"Osteoarthrosis, localized, primary, hand"
71594,9,"Osteoarthrosis, unspecified whether generalized or localized, hand"
71611,9,"Traumatic arthropathy, shoulder region"
71887,9,"Other joint derangement, not elsewhere classified, ankle and foot"
71920,9,"Villonodular synovitis, site unspecified"
7220,9,Displacement of cervical intervertebral disc without myelopathy
72610,9,"Disorders of bursae and tendons in shoulder region, unspecified"
72705,9,Other tenosynovitis of hand and wrist
7273,9,Other bursitis
72763,9,Nontraumatic rupture of extensor tendons of hand and wrist
7323,9,Juvenile osteochondrosis of upper extremity
7351,9,Hallux varus (acquired)
7395,9,"Nonallopathic lesions, pelvic region"
7465,9,Congenital mitral stenosis
75023,9,"Atresia, salivary duct"
75247,9,Longitudinal vaginal septum
75320,9,Unspecified obstructive defect of renal pelvis and ureter
75441,9,Congenital dislocation of knee (with genu recurvatum)
75530,9,Unspecified reduction deformity of lower limb
7564,9,Chondrodystrophy
75681,9,Absence of muscle and tendon
7595,9,Tuberous sclerosis
76403,9,"""Light-for-dates"" without mention of fetal malnutrition, 750-999 grams"
7753,9,Neonatal thyrotoxicosis
78002,9,Transient alteration of awareness
78060,9,"Fever, unspecified"
78607,9,Wheezing
7904,9,Nonspecific elevation of levels of transaminase or lactic acid dehydrogenase [LDH]
79319,9,Other nonspecific abnormal finding of lung field
79409,9,Other nonspecific abnormal results of function study of brain and central nervous system
7947,9,Nonspecific abnormal results of function study of basal metabolism
79531,9,Nonspecific positive findings for anthrax
80091,9,"Open fracture of vault of skull with intracranial injury of other and unspecified nature, with no loss of consciousness"
80110,9,"Closed fracture of base of skull with cerebral laceration and contusion, unspecified state of consciousness"
80112,9,"Closed fracture of base of skull with cerebral laceration and contusion, with brief [less than one hour] loss of consciousness"
80221,9,"Closed fracture of mandible, condylar process"
8027,9,Open fracture of orbital floor (blow-out)
8028,9,Closed fracture of other facial bones
80309,9,"Other closed skull fracture without mention of intracranial injury, with concussion, unspecified"
80332,9,"Other closed skull fracture with other and unspecified intracranial hemorrhage, with brief [less than one hour] loss of consciousness"
80363,9,"Other open skull fracture with cerebral laceration and contusion, with moderate [1-24 hours] loss of consciousness"
80425,9,"Closed fractures involving skull or face with other bones with subarachnoid, subdural, and extradural hemorrhage, with prolonged [more than 24 hours] loss of consciousness, without return to pre-existing conscious level"
80433,9,"Closed fractures involving skull or face with other bones, with other and unspecified intracranial hemorrhage, with moderate [1-24 hours] loss of consciousness"
80443,9,"Closed fractures involving skull or face with other bones, with intracranial injury of other and unspecified nature, with moderate [1-24 hours] loss of consciousness"
80454,9,"Open fractures involving skull or face with other bones, without mention of intracranial injury, with prolonged [more than 24 hours] loss of consciousness and return to pre-existing conscious level"
80470,9,"Open fractures involving skull or face with other bones with subarachnoid, subdural, and extradural hemorrhage, unspecified state of consciousness"
80483,9,"Open fractures involving skull or face with other bones, with other and unspecified intracranial hemorrhage, with moderate [1-24 hours] loss of consciousness"
80612,9,Open fracture of C1-C4 level with anterior cord syndrome
8091,9,"Fracture of bones of trunk, open"
81211,9,Open fracture of surgical neck of humerus
81231,9,Open fracture of shaft of humerus
8241,9,"Fracture of medial malleolus, open"
82534,9,"Open fracture of cuneiform, foot"
83111,9,Open anterior dislocation of humerus
83918,9,"Open dislocation, multiple cervical vertebrae"
8413,9,Ulnohumeral (joint) sprain
84210,9,"Sprain of hand, unspecified site"
84510,9,"Sprain of foot, unspecified site"
84513,9,"Sprain of interphalangeal (joint), toe"
85102,9,"Cortex (cerebral) contusion without mention of open intracranial wound, with brief [less than one hour] loss of consciousness"
85112,9,"Cortex (cerebral) contusion with open intracranial wound, with brief [less than one hour] loss of consciousness"
85116,9,"Cortex (cerebral) contusion with open intracranial wound, with loss of consciousness of unspecified duration"
85204,9,"Subarachnoid hemorrhage following injury without mention of open intracranial wound, with prolonged [more than 24 hours] loss of consciousness and return to pre-existing conscious level"
85224,9,"Subdural hemorrhage following injury without mention of open intracranial wound, with prolonged [more than 24 hours] loss of consciousness and return to pre-existing conscious level"
85252,9,"Extradural hemorrhage following injury with open intracranial wound, with brief [less than one hour] loss of consciousness"
85303,9,"Other and unspecified intracranial hemorrhage following injury without mention of open intracranial wound, with moderate [1-24 hours] loss of consciousness"
86384,9,"Injury to pancreas, multiple and unspecified sites, without mention of open wound into cavity"
87363,9,"Open wound of tooth (broken) (fractured) (due to trauma), without mention of complication"
8942,9,"Multiple and unspecified open wound of lower limb, with tendon involvement"
8951,9,"Traumatic amputation of toe(s) (complete) (partial), complicated"
9031,9,Injury to brachial blood vessels
9048,9,Injury to unspecified blood vessel of lower extremity
9105,9,"Insect bite, nonvenomous of face, neck, and scalp except eye, infected"
9164,9,"Insect bite, nonvenomous, of hip, thigh, leg, and ankle, without mention of infection"
9169,9,"Other and unspecified superficial injury of hip, thigh, leg, and ankle, infected"
94251,9,"Deep necrosis of underlying tissues [deep third degree] with loss of a body part, of breast"
94323,9,"Blisters, epidermal loss [second degree] of upper arm"
94412,9,Erythema [first degree] of thumb (nail)
9462,9,"Blisters, epidermal loss [second degree] of multiple specified sites"
9463,9,Full-thickness skin loss [third degree NOS] of multiple specified sites
94821,9,"Burn [any degree] involving 20-29 percent of body surface with third degree burn, 10-19%"
9541,9,"Injury to other sympathetic nerve, excluding shoulder and pelvic girdles"
9568,9,Injury to multiple nerves of pelvic girdle and lower limb
9633,9,Poisoning by alkalizing agents
9646,9,Poisoning by gamma globulin
9696,9,Poisoning by psychodysleptics (hallucinogens)
99683,9,Complications of transplanted heart
99690,9,Complications of unspecified reattached extremity
99772,9,Vascular complications of renal artery
99801,9,"Postoperative shock, cardiogenic"
9982,9,"Accidental puncture or laceration during a procedure, not elsewhere classified"
9996,9,Abo incompatibility reaction
E0043,9,Activities involving bungee jumping
E0082,9,Activities involving racquet and hand sports
E8247,9,Other motor vehicle nontraffic accident while boarding and alighting injuring pedestrian
E8354,9,Other and unspecified fall in water transport injuring water skier
E8403,9,Accident to powered aircraft at takeoff or landing injuring other occupant of commercial aircraft (powered) in surface to surface transport
E9053,9,"Sting of hornets, wasps, and bees causing poisoning and toxic reactions"
E9061,9,Rat bite
E907,9,Accident due to lightning
E9303,9,Erythromycin and other macrolides causing adverse effects in therapeutic use
E9342,9,Anticoagulants causing adverse effects in therapeutic use
E9466,9,"Anti-infectives and other drugs and preparations for ear, nose, and throat causing adverse effects in therapeutic use"
E9798,9,Terrorism involving other means
E986,9,"Injury by cutting and piercing instruments, undetermined whether accidentally or purposely inflicted"
E998,9,War inj:post war operat
V022,9,Carrier or suspected carrier of amebiasis
V0482,9,Need for prophylactic vaccination and inoculation against respiratory syncytial virus (RSV)
V1048,9,Personal history of malignant neoplasm of epididymis
V122,9,"Personal history of endocrine, metabolic, and immunity disorders"
V140,9,Personal history of allergy to penicillin
V141,9,Personal history of allergy to other antibiotic agent
V187,9,Family history of other genitourinary diseases
V2632,9,Other genetic testing of female
V2889,9,Other specified antenatal screening
V3701,9,"Other multiple birth (three or more), unspecified whether mates liveborn or stillborn, born in hospital, delivered by cesarean section"
V4574,9,"Acquired absence of organ, other parts of urinary tract"
V4581,9,Aortocoronary bypass status
V4973,9,Foot amputation status
V51,9,Aftercare w plastic surg
V5423,9,Aftercare for healing pathologic fracture of hip
V5482,9,Aftercare following explantation of joint prosthesis
V5781,9,Care involving orthotic training
V661,9,Convalescence following radiotherapy
V6709,9,"Follow-up examination, following other surgery"
V751,9,Screening examination for malaria
V762,9,Screening for malignant neoplasms of cervix
V7643,9,Screening for malignant neoplasms of skin
V8301,9,Asymptomatic hemophilia A carrier
V850,9,"Body Mass Index less than 19, adult"
0010,9,Cholera due to vibrio cholerae
0039,9,"Salmonella infection, unspecified"
0074,9,Cryptosporidiosis
00801,9,Intestinal infection due to enteropathogenic E. coli
00866,9,Enteritis due to astrovirus
01012,9,"Tuberculous pleurisy in primary progressive tuberculosis, bacteriological or histological examination unknown (at present)"
01316,9,"Tuberculoma of meninges, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
01341,9,"Tuberculoma of spinal cord, bacteriological or histological examination not done"
01524,9,"Tuberculosis of knee, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
01580,9,"Tuberculosis of other specified joint, unspecified"
01605,9,"Tuberculosis of kidney, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
01614,9,"Tuberculosis of bladder, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
01643,9,"Tuberculosis of epididymis, tubercle bacilli found (in sputum) by microscopy"
01651,9,"Tuberculosis of other male genital organs, bacteriological or histological examination not done"
01743,9,"Tuberculosis of ear, tubercle bacilli found (in sputum) by microscopy"
01750,9,"Tuberculosis of thyroid gland, unspecified"
01761,9,"Tuberculosis of adrenal glands, bacteriological or histological examination not done"
01880,9,"Other specified miliary tuberculosis, unspecified"
01894,9,"Miliary tuberculosis, unspecified, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
0322,9,Anterior nasal diphtheria
04186,9,Helicobacter pylori [H. pylori]
05411,9,Herpetic vulvovaginitis
05601,9,Encephalomyelitis due to rubella
0720,9,Mumps orchitis
0773,9,Other adenoviral conjunctivitis
0845,9,Mixed malaria
0862,9,Chagas' disease without mention of organ involvement
1129,9,Candidiasis of unspecified site
1173,9,Aspergillosis
1215,9,Metagonimiasis
1222,9,Echinococcus granulosus infection of thyroid
1251,9,Malayan filariasis
1259,9,Unspecified filariasis
1510,9,Malignant neoplasm of cardia
1580,9,Malignant neoplasm of retroperitoneum
1719,9,"Malignant neoplasm of connective and other soft tissue, site unspecified"
17302,9,Squamous cell carcinoma of skin of lip
17331,9,Basal cell carcinoma of skin of other and unspecified parts of face
17362,9,"Squamous cell carcinoma of skin of upper limb, including shoulder"
1949,9,"Malignant neoplasm of endocrine gland, site unspecified"
20017,9,"Lymphosarcoma, spleen"
20531,9,"Myeloid sarcoma, in remission"
2336,9,Carcinoma in situ of other and unspecified male genital organs
25053,9,"Diabetes with ophthalmic manifestations, type I [juvenile type], uncontrolled"
2698,9,Other nutritional deficiency
2751,9,Disorders of copper metabolism
28261,9,Hb-SS disease without crisis
28263,9,Sickle-cell/Hb-C disease without crisis
2832,9,Hemoglobinuria due to hemolysis from external causes
29554,9,"Latent schizophrenia, chronic with acute exacerbation"
29614,9,"Manic affective disorder, recurrent episode, severe, specified as with psychotic behavior"
30016,9,Factitious disorder with predominantly psychological signs and symptoms
30113,9,Cyclothymic disorder
30272,9,Psychosexual dysfunction with inhibited sexual excitement
30552,9,"Opioid abuse, episodic"
30573,9,"Amphetamine or related acting sympathomimetic abuse, in remission"
30591,9,"Other, mixed, or unspecified drug abuse, continuous"
30743,9,Transient disorder of initiating or maintaining wakefulness
31534,9,Speech and language developmental delay due to hearing loss
3220,9,Nonpyogenic meningitis
32382,9,Other causes of myelitis
33394,9,Restless legs syndrome (RLS)
33982,9,Headache associated with sexual activity
33983,9,Primary cough headache
34121,9,Acute (transverse) myelitis in conditions classified elsewhere
34620,9,"Variants of migraine, not elsewhere classified, without mention of intractable migraine without mention of status migrainosus"
36002,9,Panophthalmitis
36110,9,"Retinoschisis, unspecified"
36133,9,Multiple defects of retina without detachment
36304,9,"Focal choroiditis and chorioretinitis, peripheral"
36356,9,"Other diffuse or generalized dystrophy of choroid, partial"
36854,9,Achromatopsia
36963,9,One eye: total vision impairment; other eye: normal vision
37023,9,Filamentary keratitis
37900,9,"Scleritis, unspecified"
37943,9,"Mydriasis (persistent), not due to mydriatics"
38503,9,"Tympanosclerosis involving tympanic membrane, ear ossicles, and middle ear"
38523,9,Discontinuity or dislocation of ear ossicles
3871,9,"Otosclerosis involving oval window, obliterative"
38914,9,Central hearing loss
390,9,Rheumatic fever without mention of heart involvement
3969,9,"Mitral and aortic valve diseases, unspecified"
42840,9,"Combined systolic and diastolic heart failure, unspecified"
4291,9,Myocardial degeneration
43819,9,"Late effects of cerebrovascular disease, other speech and language deficits"
4465,9,Giant cell arteritis
45931,9,Chronic venous hypertension with ulcer
4760,9,Chronic laryngitis
47833,9,"Bilateral paralysis of vocal cords or larynx, partial"
48289,9,Pneumonia due to other specified bacteria
48811,9,Influenza due to identified 2009 H1N1 influenza virus with pneumonia
49300,9,"Extrinsic asthma, unspecified"
51284,9,Other air leak
5284,9,Cysts of oral soft tissues
53310,9,"Acute peptic ulcer of unspecified site with perforation, without mention of obstruction"
53521,9,"Gastric mucosal hypertrophy, with hemorrhage"
5409,9,Acute appendicitis without mention of peritonitis
56089,9,Other specified intestinal obstruction
5765,9,Spasm of sphincter of Oddi
5846,9,Acute kidney failure with lesion of renal cortical necrosis
6028,9,Other specified disorders of prostate
6185,9,Prolapse of vaginal vault after hysterectomy
6200,9,Follicular cyst of ovary
6260,9,Absence of menstruation
63400,9,"Spontaneous abortion, complicated by genital tract and pelvic infection, unspecified"
63732,9,"Unspecified abortion, complicated by renal failure, complete"
6399,9,Unspecified complication following abortion or ectopic and molar pregnancy
64303,9,"Mild hyperemesis gravidarum, antepartum condition or complication"
64420,9,"Early onset of delivery, unspecified as to episode of care or not applicable"
64814,9,"Thyroid dysfunction of mother, postpartum condition or complication"
64863,9,"Other cardiovascular diseases of mother, antepartum condition or complication"
65353,9,"Unusually large fetus causing disproportion, antepartum condition or complication"
65481,9,"Congenital or acquired abnormality of vulva, delivered, with or without mention of antepartum condition"
65553,9,"Suspected damage to fetus from drugs, affecting management of mother, antepartum condition or complication"
65691,9,"Unspecified fetal and placental problem, affecting management of mother, delivered, with or without mention of antepartum condition"
65833,9,"Delayed delivery after artificial rupture of membranes, antepartum condition or complication"
65940,9,"Grand multiparity, unspecified as to episode of care or not applicable"
65973,9,"Abnormality in fetal heart rate or rhythm, antepartum condition or complication"
66070,9,"Failed forceps or vacuum extractor, unspecified, unspecified as to episode of care or not applicable"
66363,9,"Vascular lesions of cord complicating labor and delivery, antepartum condition or complication"
66481,9,"Other specified trauma to perineum and vulva, delivered, with or without mention of antepartum condition"
66540,9,"High vaginal laceration, unspecified as to episode of care or not applicable"
66581,9,"Other specified obstetrical trauma, delivered, with or without mention of antepartum condition"
66582,9,"Other specified obstetrical trauma, delivered, with mention of postpartum complication"
66610,9,"Other immediate postpartum hemorrhage, unspecified as to episode of care or not applicable"
67101,9,"Varicose veins of legs complicating pregnancy and the puerperium, delivered, with or without mention of antepartum condition"
67153,9,"Other phlebitis and thrombosis complicating pregnancy and the puerperium, antepartum condition or complication"
67311,9,"Amniotic fluid embolism, delivered, with or without mention of antepartum condition"
67314,9,"Amniotic fluid embolism, postpartum condition or complication"
67410,9,"Disruption of cesarean wound, unspecified as to episode of care or not applicable"
67504,9,"Infections of nipple associated with childbirth, postpartum condition or complication"
6800,9,Carbuncle and furuncle of face
69277,9,Sunburn of third degree
6953,9,Rosacea
69550,9,Exfoliation due to erythematous condition involving less than 10 percent of body surface
69589,9,Other specified erythematous conditions
6984,9,Dermatitis factitia [artefacta]
70720,9,"Pressure ulcer, unspecified stage"
71103,9,"Pyogenic arthritis, forearm"
71222,9,"Chondrocalcinosis, due to pyrophosphate crystals, upper arm"
71229,9,"Chondrocalcinosis, due to pyrophosphate crystals, multiple sites"
71236,9,"Chondrocalcinosis, unspecified, lower leg"
71612,9,"Traumatic arthropathy, upper arm"
71903,9,"Effusion of joint, forearm"
71964,9,"Other symptoms referable to joint, hand"
71986,9,"Other specified disorders of joint, lower leg"
71989,9,"Other specified disorders of joint, multiple sites"
71991,9,"Unspecified disorder of joint, shoulder region"
7215,9,Kissing spine
72283,9,"Postlaminectomy syndrome, lumbar region"
72810,9,"Calcification and ossification, unspecified"
72885,9,Spasm of muscle
73329,9,Other bone cyst
7359,9,Unspecified acquired deformity of toe
74342,9,"Corneal opacities, interfering with vision, congenital"
74446,9,Preauricular sinus or fistula
7455,9,Ostium secundum type atrial septal defect
7475,9,Absence or hypoplasia of umbilical artery
7510,9,Meckel's diverticulum
7542,9,Congenital musculoskeletal deformities of spine
75459,9,Other varus deformities of feet
75562,9,"Coxa vara, congenital"
7600,9,Maternal hypertensive disorders affecting fetus or newborn
76414,9,"""Light-for-dates"" with signs of fetal malnutrition, 1,000-1,249 grams"
76420,9,"Fetal malnutrition without mention of ""light-for-dates"", unspecified [weight]"
76519,9,"Other preterm infants, 2,500 grams and over"
77017,9,Other fetal and newborn aspiration without respiratory symptoms
7716,9,Neonatal conjunctivitis and dacryocystitis
7764,9,Polycythemia neonatorum
78729,9,Other dysphagia
7875,9,Abnormal bowel sounds
7892,9,Splenomegaly
7897,9,Colic
7932,9,Nonspecific (abnormal) findings on radiological and other examination of other intrathoracic organs
80009,9,"Closed fracture of vault of skull without mention of intracranial injury, with concussion, unspecified"
80023,9,"Closed fracture of vault of skull with subarachnoid, subdural, and extradural hemorrhage, with moderate [1-24 hours] loss of consciousness"
80139,9,"Closed fracture of base of skull with other and unspecified intracranial hemorrhage, with concussion, unspecified"
80150,9,"Open fracture of base of skull without mention of intracranial injury, unspecified state of consciousness"
80180,9,"Open fracture of base of skull with other and unspecified intracranial hemorrhage, unspecified state of consciousness"
80191,9,"Open fracture of base of skull with intracranial injury of other and unspecified nature, with no loss of consciousness"
8029,9,Open fracture of other facial bones
80315,9,"Other closed skull fracture with cerebral laceration and contusion, with prolonged [more than 24 hours] loss of consciousness, without return to pre-existing conscious level"
80339,9,"Other closed skull fracture with other and unspecified intracranial hemorrhage, with concussion, unspecified"
80344,9,"Other closed skull fracture with intracranial injury of other and unspecified nature, with prolonged [more than 24 hours] loss of consciousness and return to pre-existing conscious level"
80419,9,"Closed fractures involving skull or face with other bones, with cerebral laceration and contusion, with concussion, unspecified"
80420,9,"Closed fractures involving skull or face with other bones with subarachnoid, subdural, and extradural hemorrhage, unspecified state of consciousness"
80495,9,"Open fractures involving skull or face with other bones, with intracranial injury of other and unspecified nature, with prolonged [more than 24 hours] loss of consciousness without return to pre-existing conscious level"
80506,9,Closed fracture of sixth cervical vertebra
80626,9,Closed fracture of T7-T12 level with complete lesion of cord
8068,9,Closed fracture of unspecified vertebral column with spinal cord injury
8073,9,Open fracture of sternum
80841,9,Closed fracture of ilium
81354,9,Open fracture of lower end of radius with ulna
81405,9,Closed fracture of trapezium bone [larger multangular] of wrist
82131,9,"Open fracture of condyle, femoral"
82312,9,Open fracture of upper end of fibula with tibia
8322,9,Nursemaid's elbow
83912,9,"Open dislocation, second cervical vertebra"
8412,9,Radiohumeral (joint) sprain
85105,9,"Cortex (cerebral) contusion without mention of open intracranial wound, with prolonged [more than 24 hours] loss of consciousness without return to pre-existing conscious level"
85143,9,"Cerebellar or brain stem contusion without mention of open intracranial wound, with moderate [1-24 hours] loss of consciousness"
85146,9,"Cerebellar or brain stem contusion without mention of open intracranial wound, with loss of consciousness of unspecified duration"
85163,9,"Cerebellar or brain stem laceration without mention of open intracranial wound, with moderate [1-24 hours] loss of consciousness"
85219,9,"Subarachnoid hemorrhage following injury with open intracranial wound, with concussion, unspecified"
85233,9,"Subdural hemorrhage following injury with open intracranial wound, with moderate [1-24 hours] loss of consciousness"
85319,9,"Other and unspecified intracranial hemorrhage following injury with open intracranial wound, with concussion, unspecified"
85409,9,"Intracranial injury of other and unspecified nature without mention of open intracranial wound, with concussion, unspecified"
85412,9,"Intracranial injury of other and unspecified nature with open intracranial wound, with brief [less than one hour] loss of consciousness"
86393,9,"Injury to pancreas, tail, with open wound into cavity"
